Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
C0001,P0016,Home & Kitchen,358.43,2025-03-01 11:48:38.410071
C0001,P0060,Home & Kitchen,235.68,2025-03-05 11:48:38.410071
C0001,P0057,Clothing,79.64,2024-08-18 11:48:38.410071
C0001,P0011,Home & Kitchen,411.0,2024-08-22 11:48:38.410071
C0001,P0035,Toys,24.06,2025-03-12 11:48:38.410071
C0001,P0060,Home & Kitchen,237.21,2024-10-18 11:48:38.410071
C0001,P0011,Home & Kitchen,382.49,2024-09-07 11:48:38.410071
C0001,P0011,Home & Kitchen,418.07,2025-03-14 11:48:38.410071
C0002,P0005,Books,61.77,2025-01-01 11:48:38.410071
C0002,P0055,Clothing,169.38,2024-12-17 11:48:38.410071
C0002,P0037,Toys,111.3,2024-12-31 11:48:38.410071
C0002,P0058,Home & Kitchen,821.77,2025-01-03 11:48:38.410071
C0002,P0035,Toys,51.75,2024-10-08 11:48:38.410071
C0002,P0036,Toys,79.94,2025-02-05 11:48:38.410071
C0002,P0053,Clothing,107.23,2024-12-28 11:48:38.410071
C0002,P0022,Electronics,1045.49,2024-10-14 11:48:38.410071
C0002,P0055,Clothing,184.73,2025-01-15 11:48:38.410071
C0002,P0001,Home & Kitchen,437.51,2024-10-13 11:48:38.410071
C0002,P0006,Clothing,107.95,2025-01-26 11:48:38.410071
C0002,P0047,Clothing,218.43,2024-08-26 11:48:38.410071
C0002,P0023,Home & Kitchen,221.09,2024-10-17 11:48:38.410071
C0002,P0046,Electronics,734.16,2024-10-11 11:48:38.410071
C0002,P0057,Clothing,161.83,2025-01-11 11:48:38.410071
C0002,P0034,Home & Kitchen,200.47,2025-03-06 11:48:38.410071
C0002,P0015,Clothing,235.96,2024-10-05 11:48:38.410071
C0002,P0027,Home & Kitchen,498.18,2024-12-06 11:48:38.410071
C0003,P0059,Home & Kitchen,387.9,2024-12-15 11:48:38.410071
C0003,P0048,Home & Kitchen,279.41,2025-02-06 11:48:38.410071
C0003,P0013,Toys,75.12,2024-09-12 11:48:38.410071
C0003,P0058,Home & Kitchen,596.25,2024-11-12 11:48:38.410071
C0003,P0020,Home & Kitchen,426.71,2024-10-20 11:48:38.410071
C0003,P0016,Home & Kitchen,461.12,2024-12-10 11:48:38.410071
C0003,P0043,Books,45.5,2024-10-28 11:48:38.410071
C0003,P0051,Toys,64.06,2024-09-06 11:48:38.410071
C0003,P0017,Toys,45.43,2025-01-05 11:48:38.410071
C0003,P0002,Books,51.8,2025-01-03 11:48:38.410071
C0003,P0024,Clothing,41.0,2025-02-26 11:48:38.410071
C0003,P0034,Home & Kitchen,128.81,2024-12-20 11:48:38.410071
C0003,P0022,Electronics,618.99,2024-11-28 11:48:38.410071
C0003,P0037,Toys,68.39,2024-08-18 11:48:38.410071
C0003,P0043,Books,46.2,2025-03-06 11:48:38.410071
C0004,P0050,Home & Kitchen,242.53,2025-02-12 11:48:38.410071
C0004,P0048,Home & Kitchen,84.79,2025-01-07 11:48:38.410071
C0004,P0010,Books,29.33,2024-09-26 11:48:38.410071
C0004,P0040,Home & Kitchen,90.8,2024-09-01 11:48:38.410071
C0004,P0049,Electronics,760.06,2024-09-02 11:48:38.410071
C0004,P0040,Home & Kitchen,78.06,2024-08-30 11:48:38.410071
C0004,P0016,Home & Kitchen,150.06,2024-12-31 11:48:38.410071
C0004,P0011,Home & Kitchen,210.0,2024-12-26 11:48:38.410071
C0004,P0056,Books,31.82,2024-09-04 11:48:38.410071
C0004,P0052,Clothing,53.45,2024-10-17 11:48:38.410071
C0004,P0020,Home & Kitchen,187.94,2025-01-10 11:48:38.410071
C0004,P0040,Home & Kitchen,58.63,2024-08-28 11:48:38.410071
C0004,P0040,Home & Kitchen,82.41,2025-02-02 11:48:38.410071
